name,team_country,team_confederation,position,club,club_country,birth_date,birth_city,birth_country,birth_lat,birth_lon,caps,goals,is_foreign_born,birth_country_known
Rustam Ashurmatov,Uzbekistan,AFC,Defender,Esteghlal,Iran,1996-07-07,Kokand,Uzbekistan,40.528611111111,70.9425,49,1,false,true
Akmal Mozgovoy,Uzbekistan,AFC,Midfielder,Pakhtakor,Uzbekistan,1999-04-02,Qarshi,Uzbekistan,38.866666666667,65.8,25,1,false,true
Otabek Shukurov,Uzbekistan,AFC,Midfielder,Baniyas,United Arab Emirates,1996-06-22,Chirakchi,Uzbekistan,39.033611111111,66.573888888889,84,9,false,true
Jamshid Iskanderov,Uzbekistan,AFC,Midfielder,Neftchi Fergana,Uzbekistan,1993-10-16,Tashkent,Tashkent Khanate,41.31111111111111,69.27972222222222,38,4,false,true
Odiljon Hamrobekov,Uzbekistan,AFC,Midfielder,Tractor,Iran,1996-02-13,Uzbekistan,Uzbekistan,41.0,66.0,72,1,false,true
Ruslanbek Jiyanov,Uzbekistan,AFC,Midfielder,Navbahor Namangan,Uzbekistan,2001-06-05,Tashkent,Tashkent Khanate,41.31111111111111,69.27972222222222,5,0,false,true
Oston Urunov,Uzbekistan,AFC,Midfielder,Persepolis,Iran,2000-12-19,Navoiy,Uzbekistan,40.083333333333,65.383333333333,42,10,false,true
Abduvohid Nematov,Uzbekistan,AFC,Goalkeeper,Nasaf,Uzbekistan,2001-03-20,Jizzakh,Uzbekistan,40.116666666667,67.85,8,0,false,true
Sherzod Nasrullaev,Uzbekistan,AFC,Defender,Nasaf,Uzbekistan,1998-07-23,Koson,Uzbekistan,39.036388888889,65.573055555556,31,2,false,true
Eldor Shomurodov,Uzbekistan,AFC,Forward,İstanbul Başakşehir,Turkey,1995-06-29,Jarkurghon,Uzbekistan,37.514444444444,67.420555555556,92,44,false,true
Umar Eshmurodov,Uzbekistan,AFC,Defender,Nasaf,Uzbekistan,1992-11-30,Koson,Uzbekistan,39.036388888889,65.573055555556,29,0,false,true
Botirali Ergashev,Uzbekistan,AFC,Goalkeeper,Neftchi Fergana,Uzbekistan,1995-06-23,Pap,Uzbekistan,40.8736,71.1089,2,0,false,true
Dostonbek Khamdamov,Uzbekistan,AFC,Midfielder,Pakhtakor,Uzbekistan,1996-07-24,Tashkent,Tashkent Khanate,41.31111111111111,69.27972222222222,34,5,false,true
Abdulla Abdullaev,Uzbekistan,AFC,Defender,Dibba,United Arab Emirates,1997-09-01,Ķürgontepa,Uzbekistan,40.733333333333,72.766666666667,17,0,false,true
Azizjon Ganiev,Uzbekistan,AFC,Midfielder,Al Bataeh,United Arab Emirates,1998-02-22,Uzbekistan,Uzbekistan,41.0,66.0,19,0,false,true
Azizbek Amonov,Uzbekistan,AFC,Forward,Dinamo Samarqand,Uzbekistan,1997-10-30,Zarafshon,Uzbekistan,41.566666666667,64.2,12,2,false,true
Igor Sergeev,Uzbekistan,AFC,Forward,Persepolis,Iran,1993-04-30,Tashkent,Tashkent Khanate,41.31111111111111,69.27972222222222,83,25,false,true
Abbosbek Fayzullaev,Uzbekistan,AFC,Midfielder,İstanbul Başakşehir,Turkey,2003-10-03,Sirdaryo,Uzbekistan,40.85,68.666666666667,32,9,false,true
Sherzod Esanov,Uzbekistan,AFC,Midfielder,Bukhara,Uzbekistan,2003-02-01,Navoiy,Uzbekistan,40.083333333333,65.383333333333,1,0,false,true
Bekhruz Karimov,Uzbekistan,AFC,Defender,Surkhon Termiz,Uzbekistan,2007-08-07,Kosonsoy,Uzbekistan,41.249166666667,71.545833333333,2,0,false,true
Avazbek Ulmasaliev,Uzbekistan,AFC,Defender,AGMK,Uzbekistan,2000-03-27,Tashkent Region,Uzbekistan,41.166666666667,69.75,0,0,false,true
Jakhongir Urozov,Uzbekistan,AFC,Defender,Dinamo Samarqand,Uzbekistan,2004-01-18,Jizzakh,Uzbekistan,40.116666666667,67.85,4,0,false,true
Dominik Livaković,Croatia,UEFA,Goalkeeper,Dinamo Zagreb,Croatia,1995-01-09,Zadar,Croatia,44.11416666666667,15.2275,75,0,false,true
Josip Stanišić,Croatia,UEFA,Defender,Bayern Munich,Germany,2000-04-02,Munich,Germany,48.1375,11.575,31,0,true,true
Marin Pongračić,Croatia,UEFA,Defender,Fiorentina,Italy,1997-09-11,Landshut,Germany,48.539722222222,12.150833333333,20,0,true,true
Joško Gvardiol,Croatia,UEFA,Defender,Manchester City,England,2002-01-23,Zagreb,Croatia,45.81305555555556,15.977222222222222,48,4,false,true
Duje Ćaleta-Car,Croatia,UEFA,Defender,Real Sociedad,Spain,1996-09-17,Šibenik,Croatia,43.733888888889,15.895555555556,38,1,false,true
Josip Šutalo,Croatia,UEFA,Defender,Ajax,Netherlands,2000-02-28,Čapljina,Bosnia and Herzegovina,43.11,17.7,33,0,true,true
Nikola Moro,Croatia,UEFA,Midfielder,Bologna,Italy,1998-03-12,Solin,Croatia,43.531666666667,16.494722222222,10,0,false,true
Mateo Kovačić,Croatia,UEFA,Midfielder,Manchester City,England,1994-05-06,Linz,Austria,48.30583333333333,14.286388888888888,113,5,true,true
Andrej Kramarić,Croatia,UEFA,Forward,TSG Hoffenheim,Germany,1991-06-19,Zagreb,Croatia,45.81305555555556,15.977222222222222,116,36,false,true
Luka Modrić,Croatia,UEFA,Midfielder,Milan,Italy,1985-09-09,Zadar,Croatia,44.11416666666667,15.2275,198,29,false,true
Ante Budimir,Croatia,UEFA,Forward,Osasuna,Spain,1991-07-22,Zenica,Bosnia and Herzegovina,44.201666666667,17.903888888889,38,6,true,true
Ivor Pandur,Croatia,UEFA,Goalkeeper,Hull City,England,2000-03-25,Rijeka,Croatia,45.333333333333336,14.433333333333334,0,0,false,true
Nikola Vlašić,Croatia,UEFA,Midfielder,Torino,Italy,1997-10-04,Split,Croatia,43.51,16.44,63,10,false,true
Ivan Perišić,Croatia,UEFA,Forward,PSV Eindhoven,Netherlands,1989-02-02,Split,Croatia,43.51,16.44,154,38,false,true
Mario Pašalić,Croatia,UEFA,Midfielder,Atalanta,Italy,1995-02-09,Mainz,Germany,49.99944444444444,8.27361111111111,85,12,true,true
Martin Baturina,Croatia,UEFA,Midfielder,Como,Italy,2003-02-16,Split,Croatia,43.51,16.44,19,1,false,true
Petar Sučić,Croatia,UEFA,Midfielder,Inter Milan,Italy,2003-10-25,Livno,Bosnia and Herzegovina,43.826944444444,17.008055555556,17,1,true,true
Kristijan Jakić,Croatia,UEFA,Defender,FC Augsburg,Germany,1997-05-14,Split,Croatia,43.51,16.44,17,2,false,true
Toni Fruk,Croatia,UEFA,Midfielder,Rijeka,Croatia,2001-03-09,Našice,Croatia,45.483333333333,18.1,7,1,false,true
Igor Matanović,Croatia,UEFA,Forward,SC Freiburg,Germany,2003-03-31,Germany,Germany,51.0,10.0,9,2,true,true
Luka Sučić,Croatia,UEFA,Midfielder,Real Sociedad,Spain,2002-09-08,Linz,Austria,48.30583333333333,14.286388888888888,21,1,true,true
Luka Vušković,Croatia,UEFA,Defender,Hamburger SV,Germany,2007-02-24,Split,Croatia,43.51,16.44,5,1,false,true
Dominik Kotarski,Croatia,UEFA,Goalkeeper,Copenhagen,Denmark,2000-02-10,Zabok,Croatia,46.05,15.966666666667,4,0,false,true
Marco Pašalić,Croatia,UEFA,Forward,Orlando City SC,United States,2000-09-14,Karlsruhe,Germany,49.016666666667,8.4,15,1,true,true
Martin Erlić,Croatia,UEFA,Defender,Midtjylland,Denmark,1998-01-24,Zadar,Croatia,44.11416666666667,15.2275,13,1,false,true
Petar Musa,Croatia,UEFA,Forward,FC Dallas,United States,1998-03-04,Zagreb,Croatia,45.81305555555556,15.977222222222222,11,1,false,true
Jordan Pickford,England,UEFA,Goalkeeper,Everton,England,1994-03-07,Washington,United Kingdom,54.9,-1.52,84,0,false,true
Ezri Konsa,England,UEFA,Defender,Aston Villa,England,1997-10-23,London Borough of Newham,United Kingdom,51.516666666666666,0.03333333333333333,20,1,false,true
Nico O'Reilly,England,UEFA,Defender,Manchester City,England,2005-03-21,Manchester,United Kingdom,53.466666666667,-2.2333333333333,5,0,false,true
Declan Rice,England,UEFA,Midfielder,Arsenal,England,1999-01-14,Kingston upon Thames,United Kingdom,51.4103,-0.2995,73,7,false,true
John Stones,England,UEFA,Defender,Manchester City,England,1994-05-28,Barnsley,United Kingdom,53.553611111111,-1.4788888888889,89,3,false,true
Marc Guéhi,England,UEFA,Defender,Manchester City,England,2000-07-13,Abidjan,Ivory Coast,5.3363888888889,-4.0266666666667,29,1,true,true
Bukayo Saka,England,UEFA,Forward,Arsenal,England,2001-09-05,Ealing,United Kingdom,51.5111,-0.3058,49,14,false,true
Elliot Anderson,England,UEFA,Midfielder,Nottingham Forest,England,2002-11-06,Whitley Bay,United Kingdom,55.0456,-1.4443,9,0,false,true
Harry Kane,England,UEFA,Forward,Bayern Munich,Germany,1993-07-28,Walthamstow,United Kingdom,51.584,-0.0211,114,79,false,true
Jude Bellingham,England,UEFA,Midfielder,Real Madrid,Spain,2003-06-29,Stourbridge,United Kingdom,52.458,-2.148,48,6,false,true
Marcus Rashford,England,UEFA,Forward,Barcelona,Spain,1997-10-31,Manchester,United Kingdom,53.466666666667,-2.2333333333333,72,18,false,true
Trevoh Chalobah,England,UEFA,Defender,Chelsea,England,1999-07-05,Freetown,Sierra Leone,8.487222222222222,-13.235555555555555,1,0,true,true
Dean Henderson,England,UEFA,Goalkeeper,Crystal Palace,England,1997-03-12,Whitehaven,United Kingdom,54.548,-3.5855,5,0,false,true
Jordan Henderson,England,UEFA,Midfielder,Brentford,England,1990-06-17,Sunderland,United Kingdom,54.904444444444444,-1.3811111111111112,90,3,false,true
